names	starkcount
RIMMA0381.1	0
RIMMA0382.1	5
RIMMA0383.1	9
RIMMA0384.1	0
RIMMA0385.1	0
RIMMA0386.1	0
RIMMA0387.1	0
RIMMA0388.1	0
RIMMA0389.1	0
RIMMA0390.1	0
RIMMA0391.1B	0
RIMMA0392.1	0
RIMMA0393.1	1
RIMMA0394.2	0
RIMMA0395.2	18
RIMMA0396.1	0
RIMMA0397.1	0
RIMMA0398.1	0
RIMMA0399.1	0
RIMMA0403.2	0
RIMMA0404.1	0
RIMMA0405.1B	0
RIMMA0406.1	0
RIMMA0407.1	0
RIMMA0409.1	0
RIMMA0410.1B	1
RIMMA0415.1	0
RIMMA0416.1	5
RIMMA0417.1	24
RIMMA0418.1	15
RIMMA0421.1	0
RIMMA0422.1	0
RIMMA0423.1	13
RIMMA0424.1	23
RIMMA0425.1	11
RIMMA0426.1	0
RIMMA0428.1	0
RIMMA0430.1	0
RIMMA0431.1	0
RIMMA0433.1	0
RIMMA0436.1	8
RIMMA0437.1	18
RIMMA0438.1	0
RIMMA0439.1	0
RIMMA0441.1	0
RIMMA0462.1	0
RIMMA0464.1	2
RIMMA0465.1	8
RIMMA0466.1	6
RIMMA0467.1	0
RIMMA0468.1	0
RIMMA0473.1	1
RIMMA0614.1	0
RIMMA0615.1	0
RIMMA0616.1	0
RIMMA0619.1	17
RIMMA0620.1	18
RIMMA0621.1	0
RIMMA0623.1	0
RIMMA0625.1	0
RIMMA0626.2	0
RIMMA0628.1	6
RIMMA0630.1	4
RIMMA0656.1	7
RIMMA0657.1	3
RIMMA0658.1	5
RIMMA0661.1	0
RIMMA0662.1	0
RIMMA0663.1	0
RIMMA0664.1	4
RIMMA0665.1	0
RIMMA0667.1	0
RIMMA0668.1	0
RIMMA0670.1	0
RIMMA0671.1	0
RIMMA0672.1	0
RIMMA0674.1	0
RIMMA0677.1	0
RIMMA0680.1	0
RIMMA0682.1	0
RIMMA0687.1	1
RIMMA0690.1	0
RIMMA0691.1	0
RIMMA0696.1	5
RIMMA0700.1	0
RIMMA0701.1	0
RIMMA0702.1	0
RIMMA0703.1	0
RIMMA0707.1	0
RIMMA0708.1	0
RIMMA0709.1	0
RIMMA0710.1	4
RIMMA0712.1	0
RIMMA0716.1	0
RIMMA0720.1	0
RIMMA0721.1	0
RIMMA0722.1	0
RIMMA0727.1	0
RIMMA0729.1	0
RIMMA0730.1	0
RIMMA0731.1	0
RIMMA0733.1	0
RIMMA0381.1	0
RIMMA0382.1	5
RIMMA0383.1	0
