names	starkcount
RIL0001.1	0
RIMMA0381.1	2
RIMMA0382.1	341
RIMMA0383.1	614
RIMMA0384.1	0
RIMMA0385.1	1
RIMMA0386.1	0
RIMMA0387.1	0
RIMMA0388.1	1
RIMMA0389.1	0
RIMMA0390.1	0
RIMMA0391.1B	3
RIMMA0392.1	1
RIMMA0393.1	1
RIMMA0394.2	1
RIMMA0395.2	1260
RIMMA0396.1	0
RIMMA0397.1	0
RIMMA0398.1	0
RIMMA0399.1	0
RIMMA0403.2	0
RIMMA0404.1	1
RIMMA0405.1B	1
RIMMA0406.1	0
RIMMA0407.1	1
RIMMA0409.1	0
RIMMA0410.1B	63
RIMMA0415.1	0
RIMMA0416.1	443
RIMMA0417.1	2215
RIMMA0418.1	1476
RIMMA0421.1	10
RIMMA0422.1	0
RIMMA0423.1	935
RIMMA0424.1	1226
RIMMA0425.1	679
RIMMA0426.1	4
RIMMA0428.1	0
RIMMA0430.1	0
RIMMA0431.1	1
RIMMA0433.1	1
RIMMA0436.1	621
RIMMA0437.1	1395
RIMMA0438.1	1
RIMMA0439.1	5
RIMMA0441.1	0
RIMMA0462.1	1
RIMMA0464.1	286
RIMMA0465.1	306
RIMMA0466.1	986
RIMMA0467.1	1
RIMMA0468.1	0
RIMMA0473.1	8
RIMMA0614.1	1
RIMMA0615.1	2
RIMMA0616.1	1
RIMMA0619.1	1210
RIMMA0620.1	865
RIMMA0621.1	1
RIMMA0623.1	0
RIMMA0625.1	0
RIMMA0626.2	0
RIMMA0628.1	853
RIMMA0630.1	258
RIMMA0656.1	464
RIMMA0657.1	325
RIMMA0658.1	978
RIMMA0661.1	3
RIMMA0662.1	1
RIMMA0663.1	2
RIMMA0664.1	268
RIMMA0665.1	1
RIMMA0667.1	0
RIMMA0668.1	3
RIMMA0670.1	0
RIMMA0671.1	0
RIMMA0672.1	1
RIMMA0674.1	1
RIMMA0677.1	1
RIMMA0680.1	2
RIMMA0682.1	1
RIMMA0687.1	362
RIMMA0690.1	2
RIMMA0691.1	0
RIMMA0696.1	408
RIMMA0700.1	3
RIMMA0701.1	2
RIMMA0702.1	1
RIMMA0703.1	3
RIMMA0707.1	0
RIMMA0708.1	1
RIMMA0709.1	0
RIMMA0710.1	587
RIMMA0712.1	2
RIMMA0716.1	0
RIMMA0720.1	1
RIMMA0721.1	0
RIMMA0722.1	1
RIMMA0727.1	0
RIMMA0729.1	0
RIMMA0730.1	1
RIMMA0731.1	0
RIMMA0733.1	2
RIMME0021_C10.1	0
RIMME0021_C11.1	1
RIMME0021_C1.1	0
RIMME0021_C12.1	0
RIMME0021_C13.1	1
RIMME0021_C14.1	0
RIMME0021_C2.1	2
RIMME0021_C3_.1	0
RIMME0021_C4.1	0
RIMME0021_C6.1	1
RIMME0021_C7.1	0
RIMME0021_C9.1	0
RIMME0026_C10.1	0
RIMME0026_C11.1	1
RIMME0026_C12.1	1
RIMME0026_C14.1	2
RIMME0026_C15_.1	2
RIMME0026_C3.1	0
RIMME0026_C4.1	0
RIMME0026_C5.1	1
RIMME0026_C6.1	0
RIMME0026_C7.1	1
RIMME0026_C8.1	0
RIMME0026_C9.1	0
RIMME0028.10	0
RIMME0028.13	2
RIMME0028.14	2
RIMME0028.1	3
RIMME0028.2	0
RIMME0028.3	1
RIMME0028.4	0
RIMME0028.5	1
RIMME0028.6	799
RIMME0028.7	0
RIMME0028.8	0
RIMME0028.9	1
RIMME0029.10	0
RIMME0029.11	2
RIMME0029.12	0
RIMME0029.13	0
RIMME0029.14	0
RIMME0029.1	0
RIMME0029.2	0
RIMME0029.3	1
RIMME0029.4	0
RIMME0029.6	0
RIMME0029.8	0
RIMME0029.9	0
RIMME0030.11	1
RIMME0030.12	1
RIMME0030.13	0
RIMME0030.14	1
RIMME0030.1	1
RIMME0030.2	1
RIMME0030.4	1
RIMME0030.5	0
RIMME0030.6	2
RIMME0030.7	2
RIMME0030.8	1
RIMME0030.9	2
RIMME0031.10	1
RIMME0031.11	2
